127.0.0.1 - - [18/Apr/2022:14:50:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Apr/2022:14:50:17 +0900] "GET /JSP/Ex07InputName.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [18/Apr/2022:14:50:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:14:50:24 +0900] "GET /JSP/Ex07PrintName.jsp?name=%EC%95%99+%EA%B8%B0%EB%AA%A8%EB%9D%A0 HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:21:10 +0900] "GET /JSP/Ex03Table.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:21:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.241.208.77 - - [18/Apr/2022:15:22:42 +0900] "GET /manager/html HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:28:42 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:28:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:35:28 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:35:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:36:30 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:36:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:36:37 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 500 2801
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:37:24 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:37:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:37:27 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 500 2801
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:38:07 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:38:10 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 500 2801
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:40:48 +0900] "GET /JSP/Ex08Score.jsp HTTP/1.1" 500 2681
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:40:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:42:48 +0900] "GET /JSP/Ex08Score.jsp HTTP/1.1" 500 2681
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:42:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:43:16 +0900] "GET /JSP/Ex08Score.jsp HTTP/1.1" 500 2681
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:43:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:43:23 +0900] "GET /JSP/Ex08Score.jsp HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:43:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:43:57 +0900] "GET /JSP/Ex08Score.jsp HTTP/1.1" 500 2711
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:43:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:51:20 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:51:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:51:25 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:52:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:52:33 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 500 2826
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:52:40 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:53:26 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:53:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:53:31 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:53:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:54:00 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:54:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:54:09 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:59:22 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:59:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:15:59:27 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:01:54 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:02:52 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:02:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:03:00 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:04:06 +0900] "GET /JSP/Ex08Score.jsp HTTP/1.1" 500 2780
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:04:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:04:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:04:15 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:08:13 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:08:18 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:19:39 +0900] "GET /JSP/Ex08Form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:19:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:19:44 +0900] "POST /JSP/Ex08Score.jsp HTTP/1.1" 200 660
94.102.61.26 - - [18/Apr/2022:16:25:33 +0900] "-" 400 2163
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:29:56 +0900] "GET /JSP/Ex09Move.html HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:29:57 +0900] "GET /JSP/Ex09naver.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:30:01 +0900] "GET /JSP/Ex09naver.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:30:04 +0900] "GET /JSP/Ex09naver.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:30:06 +0900] "GET /JSP/Ex09naver.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:49:28 +0900] "GET /JSP/Ex10Login.html HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:49:50 +0900] "GET /JSP/Ex10Login.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:49:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:49:55 +0900] "GET /JSP/Ex10Login.jsp?id=smart&pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:49:55 +0900] "GET /JSP/Ex10LoginSuccess HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:50:20 +0900] "GET /JSP/Ex10Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:50:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:16:50:26 +0900] "GET /JSP/Ex10Login.jsp?id=smart&pw=123 HTTP/1.1" 302 -
