127.0.0.1 - - [28/Jul/2022:12:54:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jul/2022:12:54:47 +0900] "GET /TitanicWebService/result.jsp HTTP/1.1" 500 2500
0:0:0:0:0:0:0:1 - - [28/Jul/2022:12:54:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2022:12:55:58 +0900] "GET /TitanicWebService/input.html HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [28/Jul/2022:13:54:47 +0900] "GET /TitanicWebService/result.jsp HTTP/1.1" 500 2500
0:0:0:0:0:0:0:1 - - [28/Jul/2022:13:55:36 +0900] "GET /TitanicWebService/result.jsp HTTP/1.1" 500 2500
0:0:0:0:0:0:0:1 - - [28/Jul/2022:13:56:38 +0900] "GET /TitanicWebService/result.jsp?predict=0 HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [28/Jul/2022:13:57:35 +0900] "GET /TitanicWebService/result.jsp?predict=0 HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [28/Jul/2022:14:01:11 +0900] "GET /TitanicWebService/result.jsp?predict=1 HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [28/Jul/2022:14:10:21 +0900] "GET /TitanicWebService/result.jsp?predict=0 HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [28/Jul/2022:14:12:18 +0900] "GET /TitanicWebService/result.jsp?predict=0 HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [28/Jul/2022:14:20:51 +0900] "GET /TitanicWebService/result.jsp?predict=0 HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [28/Jul/2022:14:23:40 +0900] "GET /TitanicWebService/result.jsp HTTP/1.1" 500 2500
0:0:0:0:0:0:0:1 - - [28/Jul/2022:14:26:11 +0900] "GET /TitanicWebService/result.jsp?predict=0 HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [28/Jul/2022:15:43:16 +0900] "GET /TitanicWebService/input.html HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [28/Jul/2022:15:44:11 +0900] "GET /TitanicWebService/result.jsp?predict=0 HTTP/1.1" 200 188
